AGENTID1,AGENTID2,CLIENTS
A10014,A20268,1
A10058,A17543,1
A10058,A30292,1
A10060,A28861,1
A10068,A23528,2
A10070,A14843,1
A10119,A4885,1
A10134,A22337,1
A10149,A14676,1
A10149,A19683,1
A10149,A20842,1
A10149,A21662,1
A10149,A26824,1
A10149,A4885,1
A10177,A30576,1
A10215,A13823,1
A10215,A14297,1
A10215,A5803,1
A10215,A8288,1
A10215,A9183,1
A10241,A21553,1
A10268,A13276,1
A10268,A15086,2
A10268,A15275,1
A10268,A17278,2
A10268,A1736,1
A10268,A18356,1
A10268,A18434,1
A10268,A18700,1
A10268,A19730,1
A10268,A21451,1
A10268,A23722,1
A10268,A25637,1
A10268,A8556,1
A10270,A13028,2
A10270,A23623,1
A10342,A20628,1
A10410,A28926,1
A10526,A22656,1
A10598,A24523,1
A10600,A30282,1
A10601,A22069,1
A10622,A30427,1
A10626,A17416,1
A10638,A8082,1
A10641,A21059,1
A10653,A20819,1
A10653,A20945,1
A10662,A20514,1
A10674,A24095,1
A10676,A26645,1
A10676,A7009,1
A10678,A10679,1
A10678,A16032,2
A10678,A23595,1
A10678,A24432,1
A10678,A4842,1
A10681,A26582,1
A10697,A17416,1
A10698,A19288,1
A10776,A25401,1
A10806,A16114,1
A10811,A22721,1
A10838,A24095,1
A10842,A26645,2
A10864,A23462,1
A10864,A24282,1
A10876,A25637,1
A1089,A18356,1
A10898,A20920,1
A10898,A967,1
A1090,A15323,1
A10913,A15120,1
A10913,A26689,1
A10917,A2419,1
A10917,A8768,2
A10923,A11950,1
A11001,A12846,1
A11005,A20189,1
A11018,A6510,1
A11022,A1500,1
A11025,A18356,1
A11026,A15768,1
A11026,A15873,1
A11026,A16082,1
A11026,A16240,1
A11026,A16682,1
A11026,A20842,1
A11026,A21299,1
A11026,A21603,1
A11026,A21662,1
A11026,A22835,1
A11026,A24377,2
A11026,A25393,1
A11026,A26740,1
A11026,A2820,1
A11026,A5763,1
A11026,A9732,1
A11029,A18874,1
A11034,A20749,1
A11034,A24219,1
A11036,A12429,1
A11082,A28106,1
A11088,A1736,1
A11088,A18356,1
A11088,A19536,1
A11088,A20257,1
A11166,A13877,1
A11199,A17812,1
A11207,A17812,1
A11230,A12133,1
A11230,A22300,4
A11257,A1791,1
A11304,A20106,1
A11348,A11915,1
A11348,A2476,1
A11348,A4325,1
A11350,A9572,1
A11389,A18356,1
A11442,A17416,1
A11462,A14940,1
A11462,A17059,1
A11462,A1722,1
A11462,A22711,1
A11470,A17542,1
A11472,A15086,1
A11472,A21220,1
A11500,A5868,1
A11515,A23652,1
A11535,A22217,1
A11544,A30215,1
A11618,A15270,1
A11618,A25997,1
A11623,A11624,1
A11623,A18356,1
A11624,A15092,1
A11624,A17395,1
A11624,A17636,1
A11624,A19537,1
A11624,A22369,1
A11624,A22380,2
A11624,A28120,1
A11624,A6510,1
A11625,A15345,1
A11659,A1722,1
A11749,A21856,1
A11768,A15511,1
A11776,A6006,1
A11788,A17278,1
A11812,A19589,1
A11856,A15302,1
A11878,A1722,1
A11906,A6006,1
A11910,A3020,1
A11950,A17278,1
A11950,A19447,1
A11950,A21543,1
A11950,A25333,1
A11950,A26959,1
A11950,A29054,1
A11950,A30427,1
A11951,A28601,1
A12016,A15398,1
A12016,A19416,1
A12039,A17058,1
A12058,A23159,1
A12061,A30292,1
A12133,A24924,1
A12140,A20979,1
A12189,A24095,1
A12220,A17074,1
A12225,A26434,1
A12233,A7935,1
A12234,A16868,1
A12242,A19640,1
A12262,A25840,1
A12274,A24638,1
A12307,A330,1
A12313,A22843,1
A12318,A29274,1
A12325,A19730,1
A12325,A21213,1
A12325,A21380,1
A1237,A20163,1
A1237,A21278,1
A1237,A24130,1
A1237,A24828,1
A1237,A3288,1
A12387,A1722,1
A12390,A7009,1
A12437,A30292,1
A12506,A17278,2
A12517,A23669,1
A12535,A19552,1
A12535,A19554,1
A12606,A5822,1
A12612,A20414,1
A12612,A26645,1
A12632,A30427,1
A12654,A23792,1
A12687,A562,1
A12724,A21861,1
A12741,A7661,1
A12751,A15633,1
A12783,A27593,1
A12858,A2755,1
A12882,A20071,1
A12884,A23241,1
A12885,A1722,1
A12959,A6510,1
A12961,A23623,1
A12994,A25393,1
A12997,A26267,1
A13013,A15290,1
A13013,A27133,1
A13028,A18356,1
A13028,A23623,2
A13028,A27247,1
A13042,A29657,1
A13052,A22649,1
A13053,A4632,1
A13148,A18356,1
A13148,A8556,1
A13200,A20510,1
A13276,A18700,1
